OBJECTID,CSAFP,CBSAFP,GEOID,NAME,NAMELSAD,LSAD,MEMI,MTFCC,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Length,Shape_Area
469,320,29200,29200,"Lafayette-West Lafayette, IN","Lafayette-West Lafayette, IN Metro Area",M1,1,G3110,4253381247,23145971,+40.4821533,-087.0171117,527403.498016263,7399014223.04265
470, ,29260,29260,"La Grande, OR","La Grande, OR Micro Area",M2,2,G3110,5275651497,4936782,+45.3040809,-117.9991488,670981.823502176,10676441058.3807
471,122,29300,29300,"LaGrange, GA-AL","LaGrange, GA-AL Micro Area",M2,2,G3110,2617360078,99733242,+32.9702981,-085.2441605,318346.374831531,3870565455.519
472,324,29340,29340,"Lake Charles, LA","Lake Charles, LA Metro Area",M1,1,G3110,6083940376,1766166035,+29.9787547,-093.2532434,611491.505739657,10499223358.7772
473,264,29380,29380,"Lake City, FL","Lake City, FL Micro Area",M2,2,G3110,2065648366,9755972,+30.2216509,-082.6233712,321334.231017676,2789090245.06093
474, ,29420,29420,"Lake Havasu City-Kingman, AZ","Lake Havasu City-Kingman, AZ Metro Area",M1,1,G3110,34529358909,333447540,+35.7177050,-113.7496891,1333668.96292551,52998176344.8788
475,422,29460,29460,"Lakeland-Winter Haven, FL","Lakeland-Winter Haven, FL Metro Area",M1,1,G3110,4655603728,551339930,+27.9536488,-081.6935337,446186.590637471,6698023521.1919
476, ,29500,29500,"Lamesa, TX","Lamesa, TX Micro Area",M2,2,G3110,2331781561,4720730,+32.7425280,-101.9487714,230254.792970443,3311909671.80548
477, ,29540,29540,"Lancaster, PA","Lancaster, PA Metro Area",M1,1,G3110,2444751463,103278571,+40.0419921,-076.2501980,324264.687590085,4352593648.47704
478, ,29620,29620,"Lansing-East Lansing, MI","Lansing-East Lansing, MI Metro Area",M1,1,G3110,5772159821,69955040,+42.7712334,-084.4960294,472200.486715688,10847617334.7753
479, ,29660,29660,"Laramie, WY","Laramie, WY Micro Area",M2,2,G3110,11070455501,89161376,+41.6655141,-105.7218826,718703.292374481,20007815794.3345
480, ,29700,29700,"Laredo, TX","Laredo, TX Metro Area",M1,1,G3110,8706186717,36555095,+27.7607987,-099.3407518,557569.478177134,11207969804.7583
481,238,29740,29740,"Las Cruces, NM","Las Cruces, NM Metro Area",M1,1,G3110,9863164217,17589892,+32.3499190,-106.8349684,554276.030929873,13886124923.9152
482,106,29780,29780,"Las Vegas, NM","Las Vegas, NM Micro Area",M2,2,G3110,17217629079,57473567,+35.6440668,-104.8630266,834594.929603059,26209942101.5567
483,332,29820,29820,"Las Vegas-Henderson-Paradise, NV","Las Vegas-Henderson-Paradise, NV Metro Area",M1,1,G3110,20439276974,438416032,+36.2142575,-115.0138120,916024.599241332,32141750317.1808
484,279,29860,29860,"Laurel, MS","Laurel, MS Micro Area",M2,2,G3110,3551008636,15860103,+31.8254653,-089.1480537,315901.129997603,4954930460.3604
485,246,29900,29900,"Laurinburg, NC","Laurinburg, NC Micro Area",M2,2,G3110,826570080,3841985,+34.8400226,-079.4773366,189814.825354899,1235661924.39367
486,312,29940,29940,"Lawrence, KS","Lawrence, KS Metro Area",M1,1,G3110,1180425074,48878066,+38.8964168,-095.2909475,206567.142100561,2031725797.37422
487,400,29980,29980,"Lawrenceburg, TN","Lawrenceburg, TN Micro Area",M2,2,G3110,1598359112,2218403,+35.2204764,-087.3965460,234538.192859623,2403520116.75335
488, ,30020,30020,"Lawton, OK","Lawton, OK Metro Area",M1,1,G3110,4408166829,61535457,+34.5291104,-098.4309172,380954.210047888,6600840015.16755
489, ,30060,30060,"Lebanon, MO","Lebanon, MO Micro Area",M2,2,G3110,1980383097,8711544,+37.6596977,-092.5948430,259254.200006727,3179185177.24976
490, ,30100,30100,"Lebanon, NH-VT","Lebanon, NH-VT Micro Area",M2,2,G3110,10108078296,175621707,+43.7857256,-072.1591415,853600.645491785,19736769931.59
491,276,30140,30140,"Lebanon, PA","Lebanon, PA Metro Area",M1,1,G3110,937089776,1781314,+40.3714482,-076.4648185,168128.501007494,1619107201.46912
492,352,30220,30220,"Levelland, TX","Levelland, TX Micro Area",M2,2,G3110,2352723915,446119,+33.6059320,-102.3433978,233316.421747644,3401412781.90302
493,146,30260,30260,"Lewisburg, PA","Lewisburg, PA Micro Area",M2,2,G3110,818323461,4639336,+40.9621790,-077.0554751,196871.71022478,1444599079.00392
494,400,30280,30280,"Lewisburg, TN","Lewisburg, TN Micro Area",M2,2,G3110,972442320,1801922,+35.4683433,-086.7658650,230293.161183527,1472038234.01835
495, ,30300,30300,"Lewiston, ID-WA","Lewiston, ID-WA Metro Area",M1,1,G3110,3844567726,32544644,+46.2516957,-116.9250166,517319.386300129,8111387754.32665
496,438,30340,30340,"Lewiston-Auburn, ME","Lewiston-Auburn, ME Metro Area",M1,1,G3110,1211990512,75546586,+44.1676811,-070.2074347,272415.2161221,2502771637.49926
497, ,30380,30380,"Lewistown, PA","Lewistown, PA Micro Area",M2,2,G3110,1064602268,9507394,+40.6016153,-077.6518322,232966.066476345,1865703320.52169
498, ,30420,30420,"Lexington, NE","Lexington, NE Micro Area",M2,2,G3110,3810503472,28263669,+40.7568158,-099.8219783,412835.731061273,6697602761.77083
499,336,30460,30460,"Lexington-Fayette, KY","Lexington-Fayette, KY Metro Area",M1,1,G3110,3807060726,37170433,+38.1028763,-084.4385451,567682.938895158,6216208811.43923
500, ,30580,30580,"Liberal, KS","Liberal, KS Micro Area",M2,2,G3110,1656693307,1961444,+37.1809599,-100.8552566,205296.107116935,2618588249.94272
501,338,30620,30620,"Lima, OH","Lima, OH Metro Area",M1,1,G3110,1042479889,11259523,+40.7716274,-084.1061032,196503.361547125,1839117724.58884
502,522,30660,30660,"Lincoln, IL","Lincoln, IL Micro Area",M2,2,G3110,1600757857,2252736,+40.1292768,-089.3653086,219838.341380793,2744844344.2565
503,339,30700,30700,"Lincoln, NE","Lincoln, NE Metro Area",M1,1,G3110,3649266235,34392021,+40.8174581,-096.8687434,354987.027737013,6438541036.57985
504,340,30780,30780,"Little Rock-North Little Rock-Conway, AR","Little Rock-North Little Rock-Conway, AR Metro Area",M1,1,G3110,10579350490,294840550,+34.7557726,-092.4005889,797485.787963923,16148906819.3711
505,558,30820,30820,"Lock Haven, PA","Lock Haven, PA Micro Area",M2,2,G3110,2299868389,23178644,+41.2626240,-077.6963600,342790.618078906,4111374110.45676
506, ,30860,30860,"Logan, UT-ID","Logan, UT-ID Metro Area",M1,1,G3110,4733850046,33251169,+41.8890205,-111.7874375,559836.975692133,8608770227.90432
507, ,30900,30900,"Logansport, IN","Logansport, IN Micro Area",M2,2,G3110,1067476817,6973614,+40.7537986,-086.3551685,195120.109897527,1874707563.25903
508, ,30940,30940,"London, KY","London, KY Micro Area",M2,2,G3110,4473996615,52507414,+36.9859162,-083.9660657,494763.773141671,7107535175.88429
509, ,30980,30980,"Longview, TX","Longview, TX Metro Area",M1,1,G3110,6942346400,108953249,+32.4316457,-094.6848326,635217.433901802,9926669036.45718
510,440,31020,31020,"Longview, WA","Longview, WA Metro Area",M1,1,G3110,2955625058,65415995,+46.1967854,-122.6784596,387076.719724393,6302973064.67456
511,106,31060,31060,"Los Alamos, NM","Los Alamos, NM Micro Area",M2,2,G3110,282843396,208105,+35.8700469,-106.3079679,118551.451916556,431950698.86922
512,348,31080,31080,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles-Long Beach-Anaheim, CA Metro Area",M1,1,G3110,12565229275,2195417329,+34.1087033,-118.1827533,1009933.25512938,21589009962.2776
513,350,31140,31140,"Louisville/Jefferson County, KY-IN","Louisville/Jefferson County, KY-IN Metro Area",M1,1,G3110,8383232249,141343884,+38.3058381,-085.6816455,752029.394047298,13864616926.6399
514,352,31180,31180,"Lubbock, TX","Lubbock, TX Metro Area",M1,1,G3110,6961020747,21259390,+33.4703271,-101.6488249,463113.671232687,10060656459.7368
515, ,31220,31220,"Ludington, MI","Ludington, MI Micro Area",M2,2,G3110,1281969422,1935610414,+43.9966363,-086.7508138,337932.876839789,6218806717.09252
516, ,31260,31260,"Lufkin, TX","Lufkin, TX Micro Area",M2,2,G3110,2066264544,173315133,+31.2518963,-094.6111337,405761.989444584,3074118307.73667
517,246,31300,31300,"Lumberton, NC","Lumberton, NC Micro Area",M2,2,G3110,2453435687,5076395,+34.6392096,-079.1008811,306790.292709181,3640743738.79983
518, ,31340,31340,"Lynchburg, VA","Lynchburg, VA Metro Area",M1,1,G3110,5491925727,68559450,+37.3649258,-079.2166894,556176.03083483,8818450170.95566
519, ,31380,31380,"Macomb, IL","Macomb, IL Micro Area",M2,2,G3110,1526339596,2012552,+40.4558082,-090.6789543,205604.127273138,2642615761.93319
520,356,31420,31420,"Macon-Bibb County, GA","Macon-Bibb County, GA Metro Area",M1,1,G3110,4464115654,36457662,+32.8562163,-083.7143050,463317.890883746,6395838707.70228
521,260,31460,31460,"Madera, CA","Madera, CA Metro Area",M1,1,G3110,5534617472,42245931,+37.2098213,-119.7498023,599828.806406781,8810366011.74345
522, ,31500,31500,"Madison, IN","Madison, IN Micro Area",M2,2,G3110,934051509,5826447,+38.7836039,-085.4400900,215527.665415054,1549104411.20556
523,357,31540,31540,"Madison, WI","Madison, WI Metro Area",M1,1,G3110,8569686237,200251850,+43.0842941,-089.5971796,708142.876649696,16447358949.6556
524, ,31580,31580,"Madisonville, KY","Madisonville, KY Micro Area",M2,2,G3110,1403944044,31984786,+37.3110702,-087.5421956,329451.90388239,2273860984.65672
525, ,31620,31620,"Magnolia, AR","Magnolia, AR Micro Area",M2,2,G3110,1983887989,1990757,+33.2230377,-093.2328433,228321.928234255,2844863610.33448
526, ,31660,31660,"Malone, NY","Malone, NY Micro Area",M2,2,G3110,4219644200,176695862,+44.5943758,-074.3106700,441870.300933559,8670738073.01418
527,284,31680,31680,"Malvern, AR","Malvern, AR Micro Area",M2,2,G3110,1593594553,18034772,+34.3151767,-092.9441474,266914.920686231,2368386005.74487
528,148,31700,31700,"Manchester-Nashua, NH","Manchester-Nashua, NH Metro Area",M1,1,G3110,2270197483,41314379,+42.9115317,-071.7230554,329594.906083219,4311877800.98504
529, ,31740,31740,"Manhattan, KS","Manhattan, KS Metro Area",M1,1,G3110,4752896549,137754617,+39.2684241,-096.5622422,452547.953065942,8171501034.7693
530, ,31820,31820,"Manitowoc, WI","Manitowoc, WI Micro Area",M2,2,G3110,1526291643,2343348501,+44.1561370,-087.5773525,372326.870150465,7508019671.74633
531,359,31860,31860,"Mankato, MN","Mankato, MN Metro Area",M1,1,G3110,3098645400,93600714,+44.1548096,-094.1478013,470419.226100988,6202896548.60681
532,360,31900,31900,"Mansfield, OH","Mansfield, OH Metro Area",M1,1,G3110,1282554028,12637716,+40.7741590,-082.5427812,221591.217172552,2260758239.80722
533,425,31930,31930,"Marietta, OH","Marietta, OH Micro Area",M2,2,G3110,1636805233,20784946,+39.4506764,-081.4906359,308699.008335386,2784033759.56644
534,361,31940,31940,"Marinette, WI-MI","Marinette, WI-MI Micro Area",M2,2,G3110,6328652487,1151675319,+45.4352790,-087.7692157,664627.315593679,15188782696.7303
535, ,31980,31980,"Marion, IN","Marion, IN Micro Area",M2,2,G3110,1072484468,2101804,+40.5157575,-085.6549455,173237.089795254,1861300041.25589
536,120,32000,32000,"Marion, NC","Marion, NC Micro Area",M2,2,G3110,1139477323,13977081,+35.6822711,-082.0480438,220711.166100996,1752015977.18459
537,198,32020,32020,"Marion, OH","Marion, OH Micro Area",M2,2,G3110,1045858048,908577,+40.5880337,-083.1688034,201312.999796546,1816950258.2468
538, ,32100,32100,"Marquette, MI","Marquette, MI Micro Area",M2,2,G3110,4685406068,4185352679,+46.6565964,-087.5840278,635549.869985604,18828118119.4906
539, ,32140,32140,"Marshall, MN","Marshall, MN Micro Area",M2,2,G3110,1850315129,18794794,+44.4091953,-095.8472678,246195.285164992,3663807185.45419
540, ,32180,32180,"Marshall, MO","Marshall, MO Micro Area",M2,2,G3110,1956717081,29587349,+39.1358403,-093.2041639,280543.159217168,3306168440.0671
541, ,32260,32260,"Marshalltown, IA","Marshalltown, IA Micro Area",M2,2,G3110,1482776062,1803080,+42.0416910,-092.9814523,207584.312605266,2693112754.18957
542,362,32280,32280,"Martin, TN","Martin, TN Micro Area",M2,2,G3110,1503107848,3707114,+36.3035963,-088.7211938,244040.610449247,2324489694.38087
543, ,32300,32300,"Martinsville, VA","Martinsville, VA Micro Area",M2,2,G3110,1018661229,5403400,+36.6825035,-079.8725642,190607.602442683,1595393371.87711
544, ,32340,32340,"Maryville, MO","Maryville, MO Micro Area",M2,2,G3110,2271326614,2361588,+40.3611359,-094.8831457,276929.750344191,3920309763.47255
545, ,32380,32380,"Mason City, IA","Mason City, IA Micro Area",M2,2,G3110,2508204881,22368794,+43.2137325,-093.2743388,286121.778585597,4764832610.08028
546,364,32420,32420,"Mayagüez, PR","Mayagüez, PR Metro Area",M1,1,G3110,350631147,509082470,+18.1641255,-067.8933331,268315.838915533,957699774.88343
547,424,32460,32460,"Mayfield, KY","Mayfield, KY Micro Area",M2,2,G3110,1429041267,13031630,+36.7233435,-088.6498974,196469.440609125,2248961551.16679
548,178,32500,32500,"Maysville, KY","Maysville, KY Micro Area",M2,2,G3110,621924408,16281528,+38.5941366,-083.8281251,137961.180863609,1046343385.27716
549, ,32540,32540,"McAlester, OK","McAlester, OK Micro Area",M2,2,G3110,3381281071,187427366,+34.9255401,-095.7481302,359434.219603876,5320962789.28082
550,365,32580,32580,"McAllen-Edinburg-Mission, TX","McAllen-Edinburg-Mission, TX Metro Area",M1,1,G3110,4068395785,31102629,+26.3963839,-098.1809900,386761.552474741,5130297997.05139
551, ,32620,32620,"McComb, MS","McComb, MS Micro Area",M2,2,G3110,1059350505,4341105,+31.1775159,-090.3977254,155215.953175442,1457614597.99556
552, ,32660,32660,"McMinnville, TN","McMinnville, TN Micro Area",M2,2,G3110,1120619143,3524884,+35.6782498,-085.7773428,197661.88528924,1707367209.08529
553, ,32700,32700,"McPherson, KS","McPherson, KS Micro Area",M2,2,G3110,2326547432,6003328,+38.3958120,-097.6474893,247077.00026592,3802888225.89041
554,240,32740,32740,"Meadville, PA","Meadville, PA Micro Area",M2,2,G3110,2621848897,65300098,+41.6878760,-080.1077950,312776.417412007,4821795148.78899
555,366,32780,32780,"Medford, OR","Medford, OR Metro Area",M1,1,G3110,7208597903,46766412,+42.4116214,-122.6756106,514068.713911831,13327162832.0931
556,368,32820,32820,"Memphis, TN-MS-AR","Memphis, TN-MS-AR Metro Area",M1,1,G3110,11859725547,311754022,+35.0244194,-089.8719712,868907.16257641,18192330092.63
557,232,32860,32860,"Menomonie, WI","Menomonie, WI Micro Area",M2,2,G3110,2201905281,35570217,+44.9477513,-091.8976451,277720.498629031,4466792250.16085
558,488,32900,32900,"Merced, CA","Merced, CA Metro Area",M1,1,G3110,5014506620,110178168,+37.1948063,-120.7228019,433573.779547841,8090347155.64429
559, ,32940,32940,"Meridian, MS","Meridian, MS Micro Area",M2,2,G3110,5598088633,36982632,+32.4106743,-088.6619259,395058.891251194,7929852690.71025
560,190,33020,33020,"Mexico, MO","Mexico, MO Micro Area",M2,2,G3110,1792905920,11855681,+39.2144810,-091.8434182,278514.32731042,3010679303.16924
561,309,33060,33060,"Miami, OK","Miami, OK Micro Area",M2,2,G3110,1219409732,35714886,+36.8357635,-094.8026814,185330.282481058,1963101494.60366
562,370,33100,33100,"Miami-Fort Lauderdale-Pompano Beach, FL","Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",M1,1,G3110,13123323711,2771846854,+26.1018281,-080.4787552,734392.76357111,19803633880.1372
563,176,33140,33140,"Michigan City-La Porte, IN","Michigan City-La Porte, IN Metro Area",M1,1,G3110,1549512632,38822025,+41.5490129,-086.7447386,239521.841885734,2838225930.722
564, ,33180,33180,"Middlesborough, KY","Middlesborough, KY Micro Area",M2,2,G3110,929965649,5321858,+36.7289281,-083.6807180,216618.929065452,1458889751.32425
565,474,33220,33220,"Midland, MI","Midland, MI Metro Area",M1,1,G3110,1337157039,30534681,+43.6482031,-084.3794144,208803.394923438,2612926337.97629
566,372,33260,33260,"Midland, TX","Midland, TX Metro Area",M1,1,G3110,4701639951,6184783,+32.0923594,-101.9945395,361902.891668732,6578355501.94457
567, ,33300,33300,"Milledgeville, GA","Milledgeville, GA Micro Area",M2,2,G3110,1890085579,42282709,+33.1985269,-083.0911491,312234.209205189,2767202731.76225
568,376,33340,33340,"Milwaukee-Waukesha, WI","Milwaukee-Waukesha, WI Metro Area",M1,1,G3110,3768082371,4835620470,+43.0176601,-087.4815541,534505.239461109,16187821052.2502
569,508,33380,33380,"Minden, LA","Minden, LA Micro Area",M2,2,G3110,1536337099,56090611,+32.7321522,-093.3398245,283224.113710388,2255767879.49571
570,206,33420,33420,"Mineral Wells, TX","Mineral Wells, TX Micro Area",M2,2,G3110,2467090693,85364144,+32.7522042,-098.3179673,244912.139963119,3618877630.67045
571,378,33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",M1,1,G3110,18253278632,1223407456,+45.0966640,-093.2753610,1352404.99709745,39098342604.1309
572, ,33500,33500,"Minot, ND","Minot, ND Micro Area",M2,2,G3110,12339055865,249233903,+48.3202424,-101.1980099,869064.398972285,28446986066.3868
573, ,33540,33540,"Missoula, MT","Missoula, MT Metro Area",M1,1,G3110,6715862371,64586516,+47.0272632,-113.8926911,809375.92895232,14591515050.4077
574, ,33580,33580,"Mitchell, SD","Mitchell, SD Micro Area",M2,2,G3110,2253859316,5396232,+43.6750380,-097.9669366,267316.850502041,4320215489.90865
575,190,33620,33620,"Moberly, MO","Moberly, MO Micro Area",M2,2,G3110,1250217888,13254191,+39.4392486,-092.4929595,183240.071847936,2121173044.21955
576,380,33660,33660,"Mobile, AL","Mobile, AL Metro Area",M1,1,G3110,5981878672,1095579401,+30.9715095,-088.2078700,585884.248285669,9658725116.44356
577,488,33700,33700,"Modesto, CA","Modesto, CA Metro Area",M1,1,G3110,3874667416,46351766,+37.5623162,-121.0028311,478910.749809041,6250514592.60013
578,384,33740,33740,"Monroe, LA","Monroe, LA Metro Area",M1,1,G3110,5911054667,157806001,+32.7342550,-092.0995498,487244.957551688,8600616330.97293
579,220,33780,33780,"Monroe, MI","Monroe, MI Metro Area",M1,1,G3110,1422810326,338211262,+41.9160970,-083.4871059,234694.984745187,3183233006.35663
580,388,33860,33860,"Montgomery, AL","Montgomery, AL Metro Area",M1,1,G3110,7029590158,187131450,+32.3656313,-086.4045848,561373.427365046,10143731689.9474
581, ,33940,33940,"Montrose, CO","Montrose, CO Micro Area",M2,2,G3110,7206742921,6522803,+38.3425479,-108.1622366,596522.095316282,11748206552.9226
582,404,33980,33980,"Morehead City, NC","Morehead City, NC Micro Area",M2,2,G3110,1314684783,2131065796,+34.8583428,-076.5358602,388690.740800739,5129871334.26506
583,318,34020,34020,"Morgan City, LA","Morgan City, LA Micro Area",M2,2,G3110,1438956831,1460334138,+29.6293488,-091.4638037,330739.428145771,3850836770.78708
584,390,34060,34060,"Morgantown, WV","Morgantown, WV Metro Area",M1,1,G3110,2613050897,21661985,+39.5251551,-079.8019121,355883.764694575,4434300456.65115
585,315,34100,34100,"Morristown, TN","Morristown, TN Metro Area",M1,1,G3110,1856628128,196091893,+36.1687842,-083.4225769,373538.76200231,3156663918.63845
586,446,34140,34140,"Moscow, ID","Moscow, ID Micro Area",M2,2,G3110,2786483015,2369979,+46.8189202,-116.7309737,347700.869322667,5952586589.2434
587,393,34180,34180,"Moses Lake, WA","Moses Lake, WA Micro Area",M2,2,G3110,6939874184,289941148,+47.2136328,-119.4677880,666820.867335836,15657513568.0774
588, ,34220,34220,"Moultrie, GA","Moultrie, GA Micro Area",M2,2,G3110,1416818776,24869747,+31.1897075,-083.7697730,204272.092938511,1976151927.21311
589, ,34260,34260,"Mountain Home, AR","Mountain Home, AR Micro Area",M2,2,G3110,1435504137,84171720,+36.2802684,-092.3299488,266445.461233969,2343673520.96369
590,147,34300,34300,"Mountain Home, ID","Mountain Home, ID Micro Area",M2,2,G3110,7964417370,68330393,+43.3946984,-115.4712050,749548.666847109,15199852781.6978
591,268,34340,34340,"Mount Airy, NC","Mount Airy, NC Micro Area",M2,2,G3110,1382386028,10337426,+36.4154160,-080.6864631,217976.121126375,2154867021.9187
592,170,34350,34350,"Mount Gay-Shamrock, WV","Mount Gay-Shamrock, WV Micro Area",M2,2,G3110,1175258983,4780836,+37.8305905,-081.9408530,294654.446483492,1894836369.07708
593,394,34380,34380,"Mount Pleasant, MI","Mount Pleasant, MI Micro Area",M2,2,G3110,1483282623,12948097,+43.6452331,-084.8394245,214111.370273415,2857904123.00148
594, ,34420,34420,"Mount Pleasant, TX","Mount Pleasant, TX Micro Area",M2,2,G3110,1558940788,69842396,+33.1377994,-094.9710024,267914.15712518,2329299028.38568
595,336,34460,34460,"Mount Sterling, KY","Mount Sterling, KY Micro Area",M2,2,G3110,1760497409,23426945,+38.0243490,-083.7410092,336386.134034279,2881619957.35464
596, ,34500,34500,"Mount Vernon, IL","Mount Vernon, IL Micro Area",M2,2,G3110,1479412106,32628685,+38.3007796,-088.9242100,198351.492165686,2459012698.6459
